"doc_id","date_year","batch_number","date_full","box_number","folder01","folder02","folder03","folder04"
"228","2015","5120","07/28/2015","197550024","2015 ACA BATCHES","5120 - 07/28/2015","-","-"
"229","2015","5119","07/28/2015","197550024","2015 ACA BATCHES","5119 - 07/28/2015","-","-"
"230","2015","5118","07/28/2015","197550024","2015 ACA BATCHES","5118 - 07/28/2015","-","-"
"231","2015","5117","07/27/2015","197550024","2015 ACA BATCHES","5117 - 07/27/2015","-","-"
"232","2015","5116","07/27/2015","197550024","2015 ACA BATCHES","5116 - 07/27/2015","-","-"
"233","2015","5115","07/24/2015","197550024","2015 ACA BATCHES","5115 - 07/24/2015","-","-"
"234","2015","5114","07/24/2015","197550024","2015 ACA BATCHES","5114 - 07/24/2015","-","-"
"235","2015","5113","07/24/2015","197550024","2015 ACA BATCHES","5113 - 07/24/2015","-","-"
"236","2015","5112","07/24/2015","197550024","2015 ACA BATCHES","5112 - 07/24/2015","-","-"
"237","2015","5111","07/23/2015","197550024","2015 ACA BATCHES","5111 - 07/23/2015","-","-"
"238","2015","5110","07/23/2015","197550024","2015 ACA BATCHES","5110 - 07/23/2015","-","-"
"239","2015","5109","07/23/2015","197550024","2015 ACA BATCHES","5109 - 07/23/2015","-","-"
"240","2015","5108","07/23/2015","197550024","2015 ACA BATCHES","5108 - 07/23/2015","-","-"
"241","2015","5107","07/23/2015","197550024","2015 ACA BATCHES","5107 - 07/23/2015","-","-"
"242","2015","5106","07/23/2015","197550024","2015 ACA BATCHES","5106 - 07/23/2015","-","-"
"243","2015","5105","07/23/2015","197550024","2015 ACA BATCHES","5105 - 07/23/2015","-","-"
"244","2015","5104","07/22/2015","197550024","2015 ACA BATCHES","5104 - 07/22/2015","-","-"
"245","2015","5103","07/22/2015","197550024","2015 ACA BATCHES","5103 - 07/22/2015","-","-"
"246","2015","5102","07/22/2015","197550024","2015 ACA BATCHES","5102 - 07/22/2015","-","-"
"247","2015","5101","07/22/2015","197550024","2015 ACA BATCHES","5101 - 07/22/2015","-","-"
"248","2015","5140","08/06/2015","197550024","2015 ACA BATCHES","5140 - 08/06/2015","-","-"
"249","2015","5139","08/06/2015","197550024","2015 ACA BATCHES","5139 - 08/06/2015","-","-"
"250","2015","5138","08/05/2015","197550024","2015 ACA BATCHES","5138 - 08/05/2015","-","-"
"251","2015","5137","08/05/2015","197550024","2015 ACA BATCHES","5137 - 08/05/2015","-","-"
"252","2015","5136","08/05/2015","197550024","2015 ACA BATCHES","5136 - 08/05/2015","-","-"
"253","2015","5135","08/04/2015","197550024","2015 ACA BATCHES","5135 - 08/04/2015","-","-"
"254","2015","5134","08/04/2015","197550024","2015 ACA BATCHES","5134 - 08/04/2015","-","-"
"255","2015","5133","08/04/2015","197550024","2015 ACA BATCHES","5133 - 08/04/2015","-","-"
"256","2015","5132","08/04/2015","197550024","2015 ACA BATCHES","5132 - 08/04/2015","-","-"
"257","2015","5131","08/04/2015","197550024","2015 ACA BATCHES","5131 - 08/04/2015","-","-"
"258","2015","5130","08/03/2015","197550024","2015 ACA BATCHES","5130 - 08/03/2015","-","-"
"259","2015","5129","08/03/2015","197550024","2015 ACA BATCHES","5129 - 08/03/2015","-","-"
"260","2015","5128","07/31/2015","197550024","2015 ACA BATCHES","5128 - 07/31/2015","-","-"
"261","2015","5127","07/31/2015","197550024","2015 ACA BATCHES","5127 - 07/31/2015","-","-"
"262","2015","5088","07/17/2015","197550023","2015 ACA BATCHES","5088 - 07/17/2015","-","-"
"263","2015","5087","07/16/2015","197550023","2015 ACA BATCHES","5087 - 07/16/2015","-","-"
"264","2015","5086","07/15/2015","197550023","2015 ACA BATCHES","5086 - 07/15/2015","-","-"
"265","2015","5085","07/14/2015","197550023","2015 ACA BATCHES","5085 - 07/14/2015","-","-"
"266","2015","5084","07/14/2015","197550023","2015 ACA BATCHES","5084 - 07/14/2015","-","-"
"267","2015","5094","07/21/2015","197550023","2015 ACA BATCHES","5094 - 07/21/2015","-","-"
"268","2015","5093","07/21/2015","197550023","2015 ACA BATCHES","5093 - 07/21/2015","-","-"
